Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-08-02,15:42:20.910,-43,-46,100,12,0,7,10,-41,100,13,38.471364 14.077753,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,!ERR,0.0,0,-1,-686,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1164,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:20.910,-43,-46,100,12,0,7,10,-37,100,13,38.471410 14.077691,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,!ERR,0.0,-2,0,-684,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1165,1500,1500,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:21.090,-42,-47,100,12,0,7,10,-40,100,14,38.471410 14.077710,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,!ERR,0.0,-1,1,-562,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1225,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:21.290,-42,-47,100,12,0,7,10,-39,100,13,38.471428 14.077752,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,ACRO,0.0,0,-1,-433,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1288,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:21.490,-43,-45,100,12,0,7,10,-35,100,12,38.471390 14.077664,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,ACRO,0.0,0,19,-390,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1309,1500,1509,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:21.690,-43,-45,100,12,0,7,10,-35,100,12,38.471415 14.077732,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,ACRO,0.0,-1,136,-451,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1277,1500,1567,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:21.890,-43,-45,100,12,0,7,10,-35,100,12,38.471429 14.077717,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,ACRO,0.0,0,110,-507,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1252,1499,1553,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:22.090,-43,-45,100,12,0,7,10,-34,100,13,38.471410 14.077709,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,ACRO,0.0,3,1,-357,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1325,1500,1500,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:22.290,-33,-47,100,12,0,7,10,-30,100,12,38.471426 14.077743,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,ACRO,0.0,1,-1,-482,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1264,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-08-02,15:42:22.490,-33,-47,100,12,0,7,10,-29,100,13,38.471378 14.077737,0.1,287.0,-1,26,49.1,0.0,485,88,0.01,0.03,-1.22,ACRO,0.0,0,-2,-482,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1264,1501,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
