Date,Time,GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-13,16:52:38.470,,0.0,0.0,-1,0,0.0,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-39,-31,100,12,1,7,10,-27,100,13,0,0,-458,1,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000050,1276,1500,1500,1500,2012,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:38.670,,0.0,0.0,-1,0,0.0,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-39,-31,100,12,1,7,10,-27,100,13,1,0,-461,0,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000050,1276,1500,1500,1500,2012,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:38.870,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-39,-31,100,12,1,7,10,-28,100,13,1,0,-438,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000050,1286,1500,1500,1500,2012,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:39.070,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-39,-31,100,12,1,7,10,-28,100,13,1,-1,-417,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000050,1296,1500,1500,1500,2012,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:39.270,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-38,-31,100,12,1,7,10,-26,100,13,1,-1,-388,2,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000050,1312,1500,1500,1500,2012,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:39.470,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-38,-31,100,12,1,7,10,-27,100,12,1,0,-400,0,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000050,1304,1500,1500,1500,2012,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:39.670,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-37,-32,100,12,1,7,10,-30,100,12,2,1,-896,-1,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000050,1061,1500,1500,1501,2012,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:39.870,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-37,-32,100,12,1,7,10,-30,100,12,1,1,-928,2,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,1046,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:40.070,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-37,-32,100,12,1,7,10,-28,100,12,3,1,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1501,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:40.270,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-38,-32,100,12,1,7,10,-28,100,12,2,1,-1024,-1,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
