Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-10,16:20:36.610,-52,-39,100,12,1,7,10,-36,100,14,0.0,38.460977 14.220962,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,!ERR,1,1,-697,1,1024,-1007,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1159,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:36.620,-52,-39,100,12,1,7,10,-36,100,14,0.0,38.460920 14.220961,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,!ERR,2,1,-698,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1158,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:36.820,-53,-39,98,11,1,7,10,-37,100,12,0.0,38.460904 14.220974,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,!ERR,1,3,-642,-1,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1186,1500,1501,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:37.020,-53,-39,98,11,1,7,10,-37,100,13,0.0,38.460905 14.220965,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,ACRO,1,2,-632,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1191,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:37.220,-53,-39,98,11,1,7,10,-37,100,13,0.0,38.460917 14.220994,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,ACRO,-1,1,-633,0,1024,-1007,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1190,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:37.420,-55,-39,98,12,1,7,10,-36,100,13,0.0,38.460943 14.220958,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,ACRO,1,2,-1022,-1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,999,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:37.620,-55,-39,98,12,1,7,10,-37,100,10,0.0,38.460998 14.220949,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,ACRO,0,2,-1022,0,1024,-1003,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,999,1500,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:37.820,-54,-39,100,12,1,7,10,-35,100,14,0.0,38.460916 14.220945,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,ACRO,0,2,-1022,2,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,999,1500,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:38.020,-54,-39,100,12,1,7,10,-37,100,13,0.0,38.460948 14.220977,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,ACRO,2,2,-1024,3,1024,-1007,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1501,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
2024-06-10,16:20:38.220,-54,-39,99,11,1,7,10,-35,100,13,0.0,38.460931 14.220895,0.0,0.0,0,9,50.1,0.0,2,99,-0.01,0.02,-1.17,ACRO,1,1,-1024,2,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.2
