Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-24,17:39:09.970,-53,-60,100,12,0,7,10,-52,100,13,41.351124 14.052730,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,!ERR,0.0,16,179,-369,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1319,1501,1587,1508,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:09.970,-53,-60,100,12,0,7,10,-50,100,12,41.351079 14.052697,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,!ERR,0.0,17,179,-366,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1321,1500,1587,1508,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:10.160,-53,-60,100,12,0,7,10,-50,100,12,41.351081 14.052718,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,!ERR,0.0,69,167,-271,32,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1367,1515,1581,1533,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:10.360,-51,-59,100,12,0,7,10,-47,100,12,41.351059 14.052726,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,!ERR,0.0,152,174,-349,162,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1329,1579,1585,1574,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:10.560,-51,-59,100,12,0,7,10,-51,100,12,41.351153 14.052669,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,!ERR,0.0,190,199,-366,197,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1321,1596,1597,1593,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:10.760,-55,-54,100,12,1,7,10,-48,100,12,41.351136 14.052746,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,!ERR,0.0,190,193,-366,198,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1321,1596,1594,1593,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:10.960,-55,-54,100,12,1,7,10,-48,100,12,41.351068 14.052722,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,ACRO,0.0,180,139,-372,173,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1318,1584,1568,1588,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:11.160,-55,-54,100,12,1,7,10,-52,100,13,41.351110 14.052660,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,ACRO,0.0,138,103,-367,173,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1320,1584,1550,1567,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:11.360,-55,-54,100,12,1,7,10,-52,100,13,41.351100 14.052698,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,ACRO,0.0,134,65,-406,146,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1301,1571,1531,1565,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2024-06-24,17:39:11.560,-57,-49,100,12,1,7,10,-46,100,13,41.351103 14.052748,0.1,237.0,0,27,49.0,0.0,716,82,0.02,0.05,2.52,ACRO,0.0,115,17,-415,134,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1297,1565,1508,1556,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
