Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-18,16:20:18.910,-41,-47,100,12,0,7,10,-36,100,13,0.0,38.367411 15.218161,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,-1,2,-483,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1263,1501,1501,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:18.910,-41,-47,100,12,0,7,10,-35,100,12,0.0,38.367346 15.218204,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,-1,2,-483,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1263,1501,1501,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:19.090,-41,-47,100,12,0,7,10,-35,100,12,0.0,38.367420 15.218218,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,0,10,-371,4,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1318,1502,1505,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:19.290,-40,-48,100,12,0,7,10,-38,100,13,0.0,38.367380 15.218228,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,0,59,-240,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1383,1500,1528,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:19.490,-40,-48,100,12,0,7,10,-35,100,13,0.0,38.367392 15.218223,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,0,68,-140,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1432,1500,1533,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:19.690,-39,-41,100,12,0,7,10,-31,100,13,0.0,38.367379 15.218189,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,25,91,-161,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1421,1501,1545,1513,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:19.890,-39,-41,100,12,0,7,10,-35,100,14,0.0,38.367415 15.218199,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,49,89,-219,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1393,1501,1543,1524,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:20.090,-39,-41,100,12,0,7,10,-35,100,14,0.0,38.367345 15.218153,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,36,108,-236,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1385,1501,1552,1517,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:20.290,-39,-41,100,12,0,7,10,-35,100,14,0.0,38.367359 15.218217,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,2,114,-262,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1372,1500,1555,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,16:20:20.490,-39,-41,100,12,0,7,10,-32,100,13,0.0,38.367403 15.218163,0.6,163.7,0,9,50.2,0.0,3,99,0.0,0.01,-3.01,ACRO,-10,27,-233,-67,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1387,1466,1511,1494,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
