Date,Time,Hdg(°),GSpd(kmh),Sats,RxBt(V),Curr(A),Capa(mAh),RSSI(dB),RQly(%),RSNR(dB),TPWR(mW),FRat,TLat,RFMD,VFrq,VPwr,VChn,VBan,GPS,Alt(m),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-05-09,15:09:28.500,0.0,0.0,-46,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-166,-21,144,-198,1024,-1006,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1570,1404,1488,1419,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:28.700,0.0,0.0,-45,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-253,-151,214,-175,1024,-1006,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1604,1415,1425,1377,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:28.900,0.0,0.0,-50,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-270,-136,66,-192,1024,-1006,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1532,1407,1432,1369,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:29.100,0.0,0.0,-54,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-273,-170,124,-224,1024,-1006,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1560,1391,1416,1367,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:29.300,0.0,0.0,-58,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-402,-227,285,-315,1024,-1005,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1639,1347,1388,1304,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:29.500,0.0,0.0,-58,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-452,-289,128,-424,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1562,1293,1357,1281,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:29.700,0.0,0.0,-64,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-392,-295,270,-254,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1632,1376,1355,1309,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:29.900,0.0,0.0,-68,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-191,-222,408,226,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1700,1610,1390,1407,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:30.100,0.0,0.0,-70,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-14,-278,253,71,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1626,1533,1362,1494,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:30.300,0.0,0.0,-68,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-4,0,640,-3,1024,-1006,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1813,1499,1499,1499,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:30.500,0.0,0.0,-69,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-162,-37,434,-202,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1712,1402,1480,1421,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
