Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-21,14:12:33.120,-34,-35,100,12,0,7,10,-31,100,13,0.0,38.377959 14.268773,0.1,44.7,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,0,0,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:33.120,-35,-35,99,12,1,7,10,-30,100,12,0.0,38.377972 14.268808,0.1,44.7,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,1,0,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:33.300,-35,-35,99,12,1,7,10,-30,100,12,0.0,38.377986 14.268853,0.1,44.7,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,2,0,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1500,1500,1501,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:33.500,-35,-35,99,12,1,7,10,-30,100,13,0.0,38.377899 14.268866,0.1,44.7,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,0,0,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:33.700,-35,-37,100,12,0,7,10,-31,100,13,0.0,38.377920 14.268783,0.1,44.7,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,1,-1,-709,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,1153,1500,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:33.900,-35,-37,100,12,0,7,10,-33,100,13,0.0,38.377981 14.268827,0.1,44.7,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,6,0,-845,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,1086,1500,1500,1503,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:34.100,-35,-37,100,12,0,7,10,-33,100,13,0.0,38.377955 14.268783,0.1,44.7,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,7,1,-864,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,1077,1500,1500,1503,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:34.300,-36,-38,100,12,0,7,10,-34,100,14,0.0,38.377926 14.268809,0.1,53.8,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,-1,1,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:34.500,-36,-38,100,12,0,7,10,-37,100,12,0.0,38.377988 14.268851,0.1,53.8,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,9,0,40,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,1519,1500,1500,1504,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:34.700,-35,-36,100,12,0,7,10,-34,100,14,0.0,38.377986 14.268864,0.1,53.8,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,1,-1,-1024,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1501,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:34.900,-35,-36,100,12,0,7,10,-33,100,13,0.0,38.377988 14.268836,0.1,53.8,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,2,1,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1500,1500,1501,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-06-21,14:12:35.100,-35,-37,99,12,0,7,10,-32,100,13,0.0,38.377910 14.268769,0.1,53.8,-1,19,50.1,0.0,6,99,0.0,0.02,-1.25,!ERR,1,0,-1024,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,1,0x0000000000000041,998,1500,1500,1500,2012,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
