Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-23,17:00:45.520,-44,-47,99,12,0,7,10,-38,100,12,0.0,41.325935 14.095109,0.1,134.5,0,24,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,2,3,-101,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1451,1500,1501,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:45.520,-43,-48,100,11,0,7,10,-39,100,13,0.0,41.325976 14.095152,0.1,134.5,0,24,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,1,5,-98,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1452,1500,1502,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:45.520,-43,-48,100,11,0,7,10,-39,100,13,0.0,41.325932 14.095078,0.1,134.5,0,24,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,2,5,-96,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1453,1500,1502,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:45.610,-43,-48,100,11,0,7,10,-39,100,13,0.0,41.325951 14.095151,0.1,134.5,0,24,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,1,5,-34,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1484,1500,1502,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:45.810,-44,-47,99,11,0,7,10,-45,100,13,0.0,41.325910 14.095116,0.1,134.5,0,24,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,84,5,-82,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1460,1501,1502,1541,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:46.010,-44,-47,99,11,0,7,10,-37,100,11,0.0,41.325963 14.095134,0.1,134.5,0,24,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,176,12,-126,44,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1438,1521,1506,1585,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:46.210,-41,-46,100,12,0,7,10,-37,100,13,0.0,41.325924 14.095116,0.1,134.5,0,24,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,201,0,-203,115,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1401,1556,1500,1598,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:46.410,-41,-46,100,12,0,7,10,-36,100,12,0.0,41.325907 14.095114,0.0,148.5,0,23,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,238,-4,-239,137,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1383,1567,1498,1616,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:46.610,-41,-46,100,12,0,7,10,-36,100,12,0.0,41.325912 14.095136,0.0,148.5,0,23,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,257,-4,-158,133,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1423,1565,1498,1625,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-06-23,17:00:46.810,-40,-47,100,12,0,7,10,-34,100,14,0.0,41.325960 14.095110,0.0,148.5,0,23,45.8,0.0,3196,23,0.02,0.02,1.65,!ERR,265,-16,-184,109,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1412,1553,1493,1629,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
