Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-24,15:23:00.360,-82,-85,100,8,0,7,10,-86,92,7,41.468943 14.212330,0.0,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,0,1,-546,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1233,1501,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:00.360,-82,-85,100,8,0,7,10,-86,92,7,41.468961 14.212332,0.0,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,0,3,-544,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1234,1501,1501,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:00.530,-82,-87,99,7,0,7,10,-86,92,11,41.468925 14.212295,0.0,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,1,5,-453,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1278,1501,1502,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:00.730,-82,-87,99,7,0,7,10,-80,92,11,41.468930 14.212258,0.0,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,-2,27,-300,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1353,1500,1513,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:00.930,-83,-84,97,7,0,7,10,-78,92,0,41.468924 14.212250,0.0,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,-165,166,-288,-54,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1359,1474,1581,1420,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:01.130,-83,-84,97,7,0,7,10,-77,92,12,41.468949 14.212311,0.0,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,-304,171,-404,-264,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1302,1371,1583,1352,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:01.330,-83,-84,97,7,0,7,10,-77,92,12,41.468915 14.212313,0.0,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,-353,136,-409,-255,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1300,1376,1566,1328,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:01.530,-72,-74,100,10,0,7,10,-65,92,13,41.468951 14.212293,0.0,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,-373,74,-375,-242,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1316,1382,1536,1318,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:01.730,-72,-74,100,10,0,7,10,-55,92,12,41.468941 14.212328,0.1,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,-359,39,-321,-229,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1343,1388,1519,1325,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-24,15:23:01.930,-72,-74,100,10,0,7,10,-55,96,12,41.468934 14.212266,0.1,201.9,0,27,47.5,0.0,1747,58,-0.02,0.0,-0.58,!ERR,0.0,-275,2,-322,-234,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1342,1386,1501,1366,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
