Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-18,10:40:25.310,-34,-35,100,12,0,7,10,-33,100,13,0.0,38.310818 15.040283,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,0,0,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:25.320,-35,-34,100,12,1,7,10,-31,100,13,0.0,38.310825 15.040334,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,0,-2,-1024,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,998,1500,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:25.320,-35,-34,100,12,1,7,10,-31,100,13,0.0,38.310808 15.040293,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,0,-2,-1024,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,998,1500,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:25.410,-35,-34,100,12,1,7,10,-31,100,13,0.0,38.310810 15.040371,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,1,-1,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:25.610,-35,-34,100,12,1,7,10,-31,100,12,0.0,38.310746 15.040318,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,-1,53,-818,-35,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1099,1483,1526,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:25.810,-35,-34,100,12,1,7,10,-30,100,12,0.0,38.310808 15.040320,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,1,32,-604,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1207,1500,1515,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:26.010,-35,-33,100,12,1,7,10,-31,100,13,0.0,38.310772 15.040293,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,-1,58,-490,7,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1260,1503,1528,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:26.210,-35,-33,100,12,1,7,10,-28,100,14,0.0,38.310803 15.040287,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,1,53,-362,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1323,1501,1526,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:26.410,-35,-33,100,12,1,7,10,-28,100,14,0.0,38.310823 15.040289,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,-1,53,-267,11,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1369,1505,1526,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:26.610,-35,-35,100,12,1,7,10,-32,100,13,0.0,38.310836 15.040289,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,-1,28,-69,5,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1468,1503,1513,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:26.810,-35,-35,100,12,1,7,10,-31,100,13,0.0,38.310758 15.040299,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,0,103,-165,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1419,1499,1550,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:40:27.010,-35,-36,100,12,0,7,10,-31,100,12,0.0,38.310759 15.040294,0.4,167.8,0,19,50.4,0.0,1,99,0.0,0.01,2.36,ACRO,2,101,-204,-9,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1400,1496,1549,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
