Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-10,16:22:54.910,-52,-61,100,12,0,7,10,-48,88,13,0.0,38.387637 14.048179,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,1,1,-608,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1203,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:54.910,-52,-61,100,12,0,7,10,-47,88,12,0.0,38.387610 14.048200,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,1,1,-606,0,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1203,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:55.100,-51,-63,100,12,0,7,10,-47,92,13,0.0,38.387611 14.048128,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,0,21,-596,-1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1207,1500,1509,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:55.300,-51,-63,100,12,0,7,10,-50,92,12,0.0,38.387581 14.048136,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,1,61,-523,-2,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1244,1500,1529,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:55.500,-51,-63,100,12,0,7,10,-50,92,12,0.0,38.387665 14.048210,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,0,10,-519,-15,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1246,1493,1504,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:55.700,-51,-63,100,12,0,7,10,-50,92,12,0.0,38.387602 14.048180,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,0,-19,-480,-3,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1265,1499,1491,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:55.900,-51,-64,100,12,0,7,10,-50,92,12,0.0,38.387634 14.048137,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,0,-5,-436,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1288,1500,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:56.100,-51,-64,100,12,0,7,10,-50,92,12,0.0,38.387613 14.048186,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,1,1,-451,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1279,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:56.300,-51,-64,100,12,0,7,10,-55,88,7,0.0,38.387674 14.048220,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,0,3,-464,5,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1273,1502,1501,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:56.500,-58,-62,100,11,0,7,10,-49,88,14,0.0,38.387587 14.048216,0.1,18.13,0,10,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,0,65,-541,36,1024,-1007,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1235,1517,1531,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:56.700,-58,-62,100,11,0,7,10,-49,88,12,0.0,38.387628 14.048145,0.1,18.13,0,12,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,-23,22,-580,3,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1217,1501,1507,1490,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
2024-06-10,16:22:56.900,-58,-62,100,11,0,7,10,-49,88,12,0.0,38.387637 14.048185,0.1,18.13,0,12,50.1,0.0,8,99,-0.02,0.01,-1.16,!ERR,1,-37,-400,24,1024,-1007,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1304,1511,1482,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.1
