Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-25,09:46:40.860,-82,-88,99,6,0,7,25,-78,88,10,41.334826 14.237678,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-2,77,-301,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1353,1500,1537,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:40.860,-82,-88,99,5,0,7,25,-78,88,8,41.334737 14.237736,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-2,82,-299,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1354,1500,1540,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:41.040,-82,-88,99,5,0,7,25,-79,88,11,41.334806 14.237698,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-125,190,-203,-15,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1401,1493,1593,1439,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:41.240,-76,-83,100,6,0,7,25,-76,88,8,41.334741 14.237675,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-152,247,-340,-147,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1334,1428,1620,1426,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:41.440,-76,-83,100,6,0,7,25,-76,88,8,41.334756 14.237670,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-132,208,-371,-224,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1318,1391,1601,1436,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:41.640,-76,-83,100,6,0,7,25,-84,88,8,41.334743 14.237708,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-177,182,-404,-226,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1302,1390,1589,1414,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:41.840,-73,-74,100,9,0,7,10,-68,88,1,41.334805 14.237695,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-179,130,-366,-243,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1321,1382,1563,1413,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:42.040,-73,-74,100,9,0,7,10,-69,88,12,41.334794 14.237697,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-164,0,-209,-252,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1398,1377,1500,1420,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:42.240,-72,-79,100,8,0,7,10,-81,92,7,41.334771 14.237728,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-127,-30,-222,-226,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1391,1390,1486,1438,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-06-25,09:46:42.440,-72,-79,100,8,0,7,10,-81,92,7,41.334756 14.237689,0.0,280.0,-1,26,49.0,0.0,764,81,0.02,0.0,-0.78,OK,0.0,-122,-60,-278,-209,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1365,1398,1470,1440,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
