Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-18,10:45:53.080,-36,-36,100,12,1,7,10,-31,100,12,0.0,38.349555 15.248299,0.0,134.8,0,24,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,0,25,-345,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1331,1501,1512,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:53.080,-36,-36,100,12,1,7,10,-31,100,14,0.0,38.349516 15.248269,0.0,134.8,0,24,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,0,26,-342,4,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1333,1502,1512,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:53.270,-36,-36,100,12,1,7,10,-31,100,14,0.0,38.349542 15.248219,0.0,134.8,0,24,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,-2,6,-215,19,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1395,1509,1503,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:53.470,-36,-36,100,12,1,7,10,-31,100,12,0.0,38.349465 15.248281,0.0,134.8,0,24,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,-42,47,-112,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1445,1501,1523,1480,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:53.670,-36,-36,100,12,1,7,10,-31,100,12,0.0,38.349489 15.248281,0.0,134.8,0,24,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,-464,3,-179,-97,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1412,1453,1501,1274,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:53.870,-37,-33,100,12,1,7,10,-29,100,13,0.0,38.349500 15.248236,0.1,133.1,0,25,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,-442,-1,-295,-176,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1356,1414,1500,1284,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:54.070,-37,-33,100,12,1,7,10,-32,100,13,0.0,38.349524 15.248252,0.1,133.1,0,25,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,-469,-4,-198,-169,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1403,1418,1498,1271,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:54.270,-45,-36,99,12,1,7,10,-29,100,13,0.0,38.349483 15.248265,0.1,133.1,0,25,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,-472,-4,-208,-108,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1398,1448,1498,1270,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:54.470,-45,-36,99,12,1,7,10,-29,100,13,0.0,38.349499 15.248275,0.1,133.1,0,25,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,-465,-2,-291,-113,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1358,1445,1499,1273,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-18,10:45:54.670,-45,-36,99,12,1,7,10,-32,100,13,0.0,38.349521 15.248212,0.1,133.1,0,25,48.0,0.0,1085,73,0.01,0.0,-0.86,!ERR,-444,4,-224,-102,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1390,1450,1502,1283,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
