Date,Time,Hdg(°),GSpd(kmh),Sats,RxBt(V),Curr(A),Capa(mAh),RSSI(dB),RQly(%),RSNR(dB),TPWR(mW),FRat,TLat,RFMD,VFrq,VPwr,VChn,VBan,GPS,Alt(m),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-05-09,15:07:59.040,0.0,0.0,-55,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,1,0,-121,-1,1024,-1005,-1024,0,0,0,0,21,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1441,1500,1499,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:07:59.050,0.0,0.0,-53,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,-118,-1,1024,-1004,-1024,0,0,0,0,19,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1443,1500,1499,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:07:59.220,0.0,0.0,-57,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,58,0,1024,-1006,-1024,0,0,0,0,21,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1528,1500,1499,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:07:59.420,0.0,0.0,-55,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,97,-2,164,-1,1024,-1004,-1024,0,0,0,0,19,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1580,1500,1498,1547,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:07:59.620,0.0,0.0,-52,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,434,211,94,379,1024,-1004,-1024,0,0,0,0,19,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1546,1685,1601,1711,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:07:59.820,0.0,0.0,-52,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,380,267,43,263,1024,-1004,-1024,0,0,0,0,19,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1521,1628,1628,1685,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:08:00.020,0.0,0.0,-53,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,294,48,444,-131,1024,-1006,-1024,0,0,0,0,21,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1718,1431,1517,1641,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:08:00.220,0.0,0.0,-51,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-2,-64,-160,-542,1024,-1006,-1024,0,0,0,0,21,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1422,1236,1467,1500,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:08:00.420,0.0,0.0,-48,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-285,-56,201,-115,1024,-1007,-1024,0,0,0,0,21,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1598,1444,1471,1361,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:08:00.620,0.0,0.0,-47,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-224,-212,123,186,1024,-1004,-1024,0,0,0,0,21,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1565,1589,1393,1392,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
