Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-20,14:33:17.430,-56,-51,100,12,1,7,10,-44,100,12,0.0,38.451856 14.103586,0.2,34.6,-1,11,50.2,0.0,2,99,-0.04,0.08,-1.13,!ERR,3,-2,-659,-25,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1177,1488,1499,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:17.430,-55,-53,100,12,1,7,10,-48,100,12,0.0,38.451832 14.103564,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.08,-1.13,!ERR,3,-2,-659,-25,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1177,1488,1499,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:17.610,-55,-53,100,12,1,7,10,-46,100,14,0.0,38.451899 14.103602,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.08,-1.13,!ERR,0,-1,-620,-3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1196,1499,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:17.810,-51,-52,100,12,0,7,10,-48,100,12,0.0,38.451877 14.103598,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.08,-1.13,!ERR,1,-3,-452,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1279,1500,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:18.010,-51,-52,100,12,0,7,10,-46,100,13,0.0,38.451864 14.103574,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.08,-1.13,!ERR,1,-2,-380,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1314,1500,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:18.210,-51,-52,100,12,0,7,10,-46,100,13,0.0,38.451893 14.103592,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.08,-1.13,!ERR,2,1,-384,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1312,1500,1500,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:18.410,-49,-53,100,12,0,7,10,-46,100,13,0.0,38.451914 14.103546,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.07,-1.13,!ERR,3,103,-431,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1289,1499,1550,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:18.610,-49,-53,100,12,0,7,10,-42,100,13,0.0,38.451917 14.103596,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.07,-1.13,!ERR,4,39,-399,-4,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1305,1498,1519,1502,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:18.810,-46,-53,100,12,0,7,10,-43,100,13,0.0,38.451851 14.103622,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.07,-1.13,!ERR,2,99,-409,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1300,1499,1548,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-20,14:33:19.010,-46,-53,100,12,0,7,10,-50,100,12,0.0,38.451919 14.103579,0.2,34.6,-1,11,50.2,3.2,2,99,-0.04,0.07,-1.13,!ERR,3,128,-458,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1276,1500,1562,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
