Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-23,16:44:04.310,-39,-41,100,12,0,7,10,-38,100,12,0.0,41.275544 14.101277,0.0,42.8,0,24,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,0,-18,-682,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1166,1499,1491,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:04.310,-38,-42,100,12,0,7,10,-33,100,12,0.0,41.275505 14.101282,0.0,42.8,0,24,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,0,-18,-684,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1165,1499,1491,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:04.490,-38,-42,100,12,0,7,10,-32,100,14,0.0,41.275507 14.101264,0.0,42.8,0,24,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,2,-4,-482,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1264,1499,1498,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:04.690,-38,-42,100,12,0,7,10,-32,100,14,0.0,41.275555 14.101325,0.0,42.8,0,24,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,-10,-9,-217,-11,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1394,1495,1496,1495,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:04.890,-36,-41,100,12,0,7,10,-32,100,13,0.0,41.275518 14.101319,0.0,42.8,0,24,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,-2,-1,-157,3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1423,1501,1500,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:05.090,-36,-41,100,12,0,7,10,-29,100,13,0.0,41.275502 14.101332,0.0,42.8,0,24,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,-241,2,-262,-95,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1372,1454,1501,1383,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:05.290,-36,-41,100,12,0,7,10,-29,100,13,0.0,41.275519 14.101280,0.0,42.8,0,24,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,-299,0,-300,-157,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1353,1424,1500,1354,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:05.490,-35,-40,100,12,0,7,10,-32,100,14,0.0,41.275519 14.101249,0.1,42.8,0,25,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,-321,-18,-195,-111,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1405,1446,1491,1344,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:05.690,-35,-40,100,12,0,7,10,-29,100,14,0.0,41.275560 14.101266,0.1,42.8,0,25,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,-332,-82,-267,-99,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1369,1452,1460,1338,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-06-23,16:44:05.890,-33,-39,100,12,0,7,10,-26,100,13,0.0,41.275517 14.101248,0.1,42.8,0,25,50.4,0.0,0,100,0.0,0.05,-0.96,!ERR,-344,-92,-232,-103,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1387,1450,1455,1332,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
