Date,Time,GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-16,11:12:54.580,38.352218 15.217692,0.1,237.2,0,17,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-27,-41,100,12,0,7,10,-25,100,12,0,-4,-620,-13,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1198,1494,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:54.630,38.352252 15.217723,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-27,-41,100,12,0,7,10,-24,100,12,1,-3,-579,-18,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1218,1491,1498,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:54.830,38.352208 15.217632,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-27,-41,100,12,0,7,10,-24,100,12,0,-3,-451,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1279,1500,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:55.030,38.352197 15.217719,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-27,-41,100,12,0,7,10,-24,100,12,0,-4,-366,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1321,1500,1498,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:55.230,38.352196 15.217697,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-27,-40,100,12,0,7,10,-25,100,13,2,14,-370,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1319,1500,1507,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:55.430,38.352216 15.217694,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-27,-40,100,12,0,7,10,-24,100,14,0,42,-361,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1324,1500,1520,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:55.630,38.352190 15.217713,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-28,-39,100,12,0,7,10,-24,100,13,-1,2,-271,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1367,1500,1501,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:55.830,38.352244 15.217723,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-28,-39,100,12,0,7,10,-25,100,12,0,-44,-233,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1386,1500,1479,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:56.030,38.352211 15.217678,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.1,12.3,7,99,!ERR,-28,-39,100,12,0,7,10,-25,100,12,-1,-70,-197,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1404,1499,1467,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:56.230,38.352220 15.217710,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.4,7.4,9,99,!ERR,-30,-36,100,12,0,7,10,-28,100,13,1,23,-275,-3,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1363,1500,1511,1501,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:56.430,38.352235 15.217697,0.1,237.2,0,16,0.0,-0.02,0.05,-3.12,49.4,7.4,9,99,!ERR,-30,-36,100,12,0,7,10,-27,100,13,0,42,-312,-2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1347,1499,1520,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
