Date,Time,GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-16,11:12:46.720,38.383113 15.219803,0.0,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-29,-37,100,12,0,7,10,-25,100,13,-1,-1,-568,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1222,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:46.780,38.383061 15.219888,0.0,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-39,100,12,0,7,10,-25,100,14,-1,0,-538,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1237,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:46.980,38.383095 15.219800,0.0,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-39,100,12,0,7,10,-25,100,13,-1,-3,-449,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1280,1500,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:47.180,38.383076 15.219876,0.0,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-39,100,12,0,7,10,-25,100,13,0,-1,-449,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1280,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:47.380,38.383135 15.219864,0.0,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-39,100,12,0,7,10,-25,100,13,0,0,-435,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1287,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:47.580,38.383107 15.219848,0.0,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-39,100,12,0,7,10,-26,100,14,1,-1,-470,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1270,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:47.780,38.383123 15.219850,0.0,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-39,100,12,0,7,10,-25,100,13,1,-1,-958,2,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1031,1501,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:47.980,38.383123 15.219850,0.1,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-39,100,11,0,7,10,-24,100,13,1,-2,-1024,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,998,1500,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:48.180,38.383114 15.219818,0.1,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-39,100,11,0,7,10,-24,100,12,1,0,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:48.380,38.383048 15.219887,0.1,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-40,100,12,0,7,10,-25,100,13,2,-4,-1024,0,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1500,1498,1501,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:48.580,38.383138 15.219846,0.1,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-40,100,12,0,7,10,-25,100,13,0,1,-1024,-1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-06-16,11:12:48.780,38.383050 15.219876,0.1,237.2,0,17,0.0,-0.02,0.04,-3.1,49.8,0.0,0,100,!ERR,-28,-40,100,12,0,7,10,-25,100,13,1,0,-1024,1,1024,-1024,1024,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000040,998,1500,1500,1500,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
