Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-10,16:55:53.600,-50,-43,100,12,1,7,10,-42,100,12,0.0,38.424423 14.076825,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,!ERR,2,2,-333,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1337,1500,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:53.800,-48,-43,98,12,1,7,10,-42,100,13,0.0,38.424448 14.076816,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,!ERR,2,21,-274,5,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1366,1502,1510,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:54.000,-48,-43,98,12,1,7,10,-40,100,12,0.0,38.424421 14.076854,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,0,3,-227,72,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1389,1535,1501,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:54.200,-47,-43,100,12,1,7,10,-38,100,13,0.0,38.424415 14.076868,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,0,40,-227,8,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1389,1503,1519,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:54.400,-47,-43,100,12,1,7,10,-38,100,13,0.0,38.424470 14.076839,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-2,46,-234,-2,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1386,1500,1522,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:54.600,-47,-43,100,12,1,7,10,-43,100,13,0.0,38.424426 14.076821,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-19,7,-227,3,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1389,1501,1503,1491,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:54.800,-49,-44,100,12,1,7,10,-42,100,12,0.0,38.424491 14.076879,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-1,28,-217,3,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1394,1501,1513,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:55.000,-49,-44,100,12,1,7,10,-46,100,13,0.4,38.424461 14.076901,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,0,14,-232,6,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1387,1502,1506,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:55.200,-51,-48,96,12,1,7,10,-44,100,12,0.4,38.424441 14.076854,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-1,39,-262,13,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1373,1506,1516,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:55.400,-51,-48,96,12,1,7,10,-38,100,13,0.4,38.424392 14.076850,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-1,6,-250,53,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1378,1525,1502,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
